Data;D.S. Lido Liv.Idrom. medio 1m;Faro Diga Lido V.Vento med.10m;Faro Diga Lido V.Vento max;Faro Diga Lido D.Vento med. 10m
2022-11-10 00:00:00;0.65;3.8;4.5;23
2022-11-10 00:05:00;0.64;3.9;4.5;31
2022-11-10 00:10:00;0.64;3.6;4.3;33
2022-11-10 00:15:00;0.63;3.6;4.5;34
2022-11-10 00:20:00;0.62;3.7;4.3;38
2022-11-10 00:25:00;0.61;3.7;4.4;44
2022-11-10 00:30:00;0.60;3.9;5.1;43
2022-11-10 00:35:00;0.58;4.4;5.3;44
2022-11-10 00:40:00;0.57;4.4;4.8;42
2022-11-10 00:45:00;0.57;3.9;4.4;31
2022-11-10 00:50:00;0.55;3.6;4.4;26
2022-11-10 00:55:00;0.55;3.7;4.7;33
2022-11-10 01:00:00;0.55;3.8;4.4;40
2022-11-10 01:05:00;0.52;3.8;4.6;40
2022-11-10 01:10:00;0.51;3.9;4.7;42
2022-11-10 01:15:00;0.50;3.9;4.6;44
2022-11-10 01:20:00;0.48;3.9;4.6;45
2022-11-10 01:25:00;0.47;4.0;4.6;43
2022-11-10 01:30:00;0.46;4.0;4.7;44
2022-11-10 01:35:00;0.46;3.9;4.3;43
2022-11-10 01:40:00;0.45;3.6;4.1;34
2022-11-10 01:45:00;0.44;3.5;4.3;38
2022-11-10 01:50:00;0.42;3.5;4.2;36
2022-11-10 01:55:00;0.41;3.4;4.1;42
2022-11-10 02:00:00;0.39;3.4;4.4;36
2022-11-10 02:05:00;0.38;3.5;4.0;36
2022-11-10 02:10:00;0.37;3.5;4.2;41
2022-11-10 02:15:00;0.36;3.4;3.9;34
2022-11-10 02:20:00;0.35;3.5;4.5;34
2022-11-10 02:25:00;0.34;3.6;4.2;33
2022-11-10 02:30:00;0.33;3.4;4.0;28
2022-11-10 02:35:00;0.32;3.1;3.8;25
2022-11-10 02:40:00;0.32;3.1;4.2;25
2022-11-10 02:45:00;0.32;3.2;3.6;20
2022-11-10 02:50:00;0.31;3.2;4.0;13
2022-11-10 02:55:00;0.31;3.5;4.8;13
2022-11-10 03:00:00;0.31;3.5;3.9;9
2022-11-10 03:05:00;0.30;3.3;4.4;15
2022-11-10 03:10:00;0.30;3.4;4.1;16
2022-11-10 03:15:00;0.29;3.5;4.1;19
2022-11-10 03:20:00;0.28;3.4;4.2;18
2022-11-10 03:25:00;0.28;3.3;4.0;27
2022-11-10 03:30:00;0.28;3.5;4.4;32
2022-11-10 03:35:00;0.27;3.6;4.4;26
2022-11-10 03:40:00;0.28;3.4;4.1;15
2022-11-10 03:45:00;0.28;3.2;3.9;4
2022-11-10 03:50:00;0.28;3.3;3.9;5
2022-11-10 03:55:00;0.28;3.2;4.8;1
2022-11-10 04:00:00;0.28;3.0;3.7;5
2022-11-10 04:05:00;0.28;3.1;4.2;13
2022-11-10 04:10:00;0.28;3.3;4.1;18
2022-11-10 04:15:00;0.28;3.4;4.3;20
2022-11-10 04:20:00;0.29;3.4;4.0;17
2022-11-10 04:25:00;0.30;3.4;4.5;14
2022-11-10 04:30:00;0.30;3.3;4.0;13
2022-11-10 04:35:00;0.31;3.6;4.3;15
2022-11-10 04:40:00;0.31;3.8;4.3;13
2022-11-10 04:45:00;0.32;3.5;4.2;15
2022-11-10 04:50:00;0.32;3.4;4.1;12
2022-11-10 04:55:00;0.32;3.3;4.5;18
2022-11-10 05:00:00;0.32;3.3;4.3;16
2022-11-10 05:05:00;0.33;3.5;4.3;15
2022-11-10 05:10:00;0.34;3.7;4.5;21
2022-11-10 05:15:00;0.35;3.8;4.6;17
2022-11-10 05:20:00;0.37;3.6;4.5;15
2022-11-10 05:25:00;0.38;3.6;4.6;16
2022-11-10 05:30:00;0.39;3.5;4.2;14
2022-11-10 05:35:00;0.39;3.5;4.7;10
2022-11-10 05:40:00;0.40;3.5;4.4;11
2022-11-10 05:45:00;0.42;3.3;3.8;15
2022-11-10 05:50:00;0.44;3.5;4.3;18
2022-11-10 05:55:00;0.45;3.5;4.3;19
2022-11-10 06:00:00;0.47;3.5;4.3;21
2022-11-10 06:05:00;0.48;3.7;5.1;29
2022-11-10 06:10:00;0.49;3.7;5.3;26
2022-11-10 06:15:00;0.50;3.4;4.6;11
2022-11-10 06:20:00;0.51;3.1;3.7;8
2022-11-10 06:25:00;0.53;3.2;4.2;10
2022-11-10 06:30:00;0.55;3.4;4.3;12
2022-11-10 06:35:00;0.55;3.4;3.9;13
2022-11-10 06:40:00;0.57;3.4;4.0;8
2022-11-10 06:45:00;0.57;3.3;4.2;2
2022-11-10 06:50:00;0.58;3.2;4.1;2
2022-11-10 06:55:00;0.59;3.3;4.0;2
2022-11-10 07:00:00;0.61;3.4;4.1;1
2022-11-10 07:05:00;0.62;3.6;4.4;5
2022-11-10 07:10:00;0.62;3.7;4.1;9
2022-11-10 07:15:00;0.63;3.6;4.4;13
2022-11-10 07:20:00;0.64;3.1;3.5;9
2022-11-10 07:25:00;0.65;3.1;4.6;4
2022-11-10 07:30:00;0.66;3.4;4.1;12
2022-11-10 07:35:00;0.68;3.5;4.1;16
2022-11-10 07:40:00;0.69;3.4;4.3;14
2022-11-10 07:45:00;0.70;3.2;3.8;14
2022-11-10 07:50:00;0.71;3.0;3.6;16
2022-11-10 07:55:00;0.73;3.1;4.2;14
2022-11-10 08:00:00;0.74;3.2;4.0;8
2022-11-10 08:05:00;0.76;3.3;4.5;9
2022-11-10 08:10:00;0.76;3.3;3.7;9
2022-11-10 08:15:00;0.78;3.2;4.1;15
2022-11-10 08:20:00;0.79;3.4;4.6;10
2022-11-10 08:25:00;0.80;3.8;5.0;8
2022-11-10 08:30:00;0.81;3.7;3.9;8
2022-11-10 08:35:00;0.82;3.5;4.8;10
2022-11-10 08:40:00;0.82;3.5;4.2;6
2022-11-10 08:45:00;0.83;3.3;4.0;5
2022-11-10 08:50:00;0.84;3.2;4.4;4
2022-11-10 08:55:00;0.84;3.0;3.7;10
2022-11-10 09:00:00;0.85;3.0;3.8;5
2022-11-10 09:05:00;0.85;3.2;4.1;3
2022-11-10 09:10:00;0.85;3.5;4.6;4
2022-11-10 09:15:00;0.86;3.7;4.2;8
2022-11-10 09:20:00;0.87;3.6;4.5;15
2022-11-10 09:25:00;0.87;3.5;4.4;17
2022-11-10 09:30:00;0.87;3.3;4.1;19
2022-11-10 09:35:00;0.86;3.3;3.9;18
2022-11-10 09:40:00;0.86;3.2;4.0;18
2022-11-10 09:45:00;0.86;3.3;4.2;19
2022-11-10 09:50:00;0.85;3.6;4.6;22
2022-11-10 09:55:00;0.85;3.5;4.5;22
2022-11-10 10:00:00;0.84;3.3;4.1;19
2022-11-10 10:05:00;0.84;3.5;4.1;21
2022-11-10 10:10:00;0.84;3.7;4.7;27
2022-11-10 10:15:00;0.84;3.6;4.5;26
2022-11-10 10:20:00;0.84;3.8;5.0;28
2022-11-10 10:25:00;0.84;3.8;4.3;22
2022-11-10 10:30:00;0.84;3.3;3.9;18
2022-11-10 10:35:00;0.84;3.2;4.3;21
2022-11-10 10:40:00;0.83;3.1;3.7;27
2022-11-10 10:45:00;0.82;3.1;4.1;29
2022-11-10 10:50:00;0.82;3.3;4.6;28
2022-11-10 10:55:00;0.81;3.1;4.3;32
2022-11-10 11:00:00;0.81;3.1;4.5;28
2022-11-10 11:05:00;0.80;3.3;4.6;18
2022-11-10 11:10:00;0.79;3.4;3.7;17
2022-11-10 11:15:00;0.77;3.5;4.6;20
2022-11-10 11:20:00;0.75;3.7;4.6;17
2022-11-10 11:25:00;0.74;3.6;4.3;10
2022-11-10 11:30:00;0.72;3.7;4.8;15
2022-11-10 11:35:00;0.70;4.0;5.0;16
