Data;Misericordia Liv.Idrom. medio 1m;Misericordia D.Vento med. 10m;Misericordia V.Vento med.10m;Misericordia V.Vento max;Misericordia Onda: Alt. sign.;Misericordia Onda: Alt. max
2022-11-10 00:00:00;0.71;12;3.0;3.8;0.14;0.20
2022-11-10 00:05:00;0.71;10;3.1;3.8;0.12;0.22
2022-11-10 00:10:00;0.71;13;3.2;3.9;0.10;0.18
2022-11-10 00:15:00;0.71;11;3.3;4.0;0.10;0.16
2022-11-10 00:20:00;0.71;29;3.3;3.8;0.10;0.18
2022-11-10 00:25:00;0.70;30;3.1;4.2;0.09;0.17
2022-11-10 00:30:00;0.70;22;3.2;4.2;0.10;0.23
2022-11-10 00:35:00;0.69;21;3.2;4.3;0.10;0.19
2022-11-10 00:40:00;0.68;20;3.2;4.2;0.09;0.18
2022-11-10 00:45:00;0.67;28;3.1;3.7;0.10;0.15
2022-11-10 00:50:00;0.67;20;2.9;3.7;0.09;0.15
2022-11-10 00:55:00;0.66;20;3.1;3.9;0.11;0.22
2022-11-10 01:00:00;0.65;19;3.2;3.8;0.09;0.18
2022-11-10 01:05:00;0.64;15;3.2;4.0;0.10;0.16
2022-11-10 01:10:00;0.63;14;3.4;4.4;0.10;0.21
2022-11-10 01:15:00;0.62;13;3.6;4.4;0.11;0.17
2022-11-10 01:20:00;0.61;21;3.5;4.4;0.11;0.20
2022-11-10 01:25:00;0.60;22;3.3;4.2;0.09;0.15
2022-11-10 01:30:00;0.59;19;3.0;3.4;0.09;0.15
2022-11-10 01:35:00;0.58;14;2.8;3.4;0.08;0.14
2022-11-10 01:40:00;0.56;14;3.0;3.9;0.08;0.15
2022-11-10 01:45:00;0.55;13;3.2;3.7;0.09;0.16
2022-11-10 01:50:00;0.54;12;3.1;3.8;0.10;0.18
2022-11-10 01:55:00;0.53;4;3.3;4.3;0.08;0.15
2022-11-10 02:00:00;0.52;10;3.4;4.2;0.08;0.13
2022-11-10 02:05:00;0.51;14;3.5;4.2;0.07;0.12
2022-11-10 02:10:00;0.50;12;3.4;4.0;0.07;0.13
2022-11-10 02:15:00;0.49;15;3.3;4.2;0.07;0.12
2022-11-10 02:20:00;0.47;11;3.5;4.6;0.07;0.14
2022-11-10 02:25:00;0.46;5;3.7;4.3;0.08;0.14
2022-11-10 02:30:00;0.45;5;3.8;4.9;0.09;0.25
2022-11-10 02:35:00;0.44;4;4.0;4.7;0.08;0.14
2022-11-10 02:40:00;0.44;5;4.0;5.1;0.08;0.14
2022-11-10 02:45:00;0.43;3;4.2;5.1;0.09;0.15
2022-11-10 02:50:00;0.42;2;4.4;5.3;0.09;0.17
2022-11-10 02:55:00;0.41;2;4.3;5.2;0.10;0.15
2022-11-10 03:00:00;0.40;4;4.3;5.3;0.10;0.17
2022-11-10 03:05:00;0.39;5;4.3;5.1;0.10;0.16
2022-11-10 03:10:00;0.38;2;4.0;4.6;0.10;0.18
2022-11-10 03:15:00;0.37;5;3.8;4.7;0.11;0.25
2022-11-10 03:20:00;0.36;9;3.9;4.7;0.11;0.21
2022-11-10 03:25:00;0.35;6;4.0;4.9;0.11;0.27
2022-11-10 03:30:00;0.35;9;4.2;4.9;0.09;0.17
2022-11-10 03:35:00;0.34;9;4.2;5.1;0.10;0.23
2022-11-10 03:40:00;0.33;8;4.1;5.2;0.12;0.25
2022-11-10 03:45:00;0.32;8;4.2;5.1;0.12;0.20
2022-11-10 03:50:00;0.31;6;4.3;5.0;0.13;0.33
2022-11-10 03:55:00;0.31;9;4.2;4.8;0.10;0.22
2022-11-10 04:00:00;0.30;13;3.9;4.4;0.13;0.30
2022-11-10 04:05:00;0.29;16;3.6;4.4;0.09;0.13
2022-11-10 04:10:00;0.29;16;3.6;4.6;0.15;0.31
2022-11-10 04:15:00;0.28;19;3.8;4.8;0.14;0.32
2022-11-10 04:20:00;0.28;26;3.8;4.8;0.11;0.24
2022-11-10 04:25:00;0.27;26;3.8;5.0;0.14;0.26
2022-11-10 04:30:00;0.27;28;3.7;4.6;0.14;0.25
2022-11-10 04:35:00;0.27;35;3.8;4.8;0.11;0.33
