Data;San Giorgio D.Vento med. 10m;San Giorgio V.Vento med.10m;San Giorgio V.Vento max;San Giorgio Temperatura;San Giorgio Umidita';San Giorgio Radiazione solare
2022-11-10 00:00:00;18;4.0;4.9;14.0;79.0;0
2022-11-10 00:05:00;18;4.3;4.9;14.0;79.0;0
2022-11-10 00:10:00;22;4.5;5.2;14.0;79.0;0
2022-11-10 00:15:00;25;4.3;5.4;14.0;79.0;0
2022-11-10 00:20:00;23;4.6;5.2;13.9;79.0;0
2022-11-10 00:25:00;26;4.7;5.6;13.8;79.0;0
2022-11-10 00:30:00;24;5.0;6.0;13.8;79.0;0
2022-11-10 00:35:00;19;4.9;6.3;13.8;79.0;0
2022-11-10 00:40:00;20;4.4;5.5;13.8;79.0;0
2022-11-10 00:45:00;27;4.4;5.5;13.8;79.0;0
2022-11-10 00:50:00;24;4.7;5.6;13.7;80.0;0
2022-11-10 00:55:00;24;4.8;5.8;13.8;80.0;0
2022-11-10 01:00:00;22;4.9;6.0;13.8;80.0;0
2022-11-10 01:05:00;21;4.8;6.1;13.8;80.0;0
2022-11-10 01:10:00;19;5.0;5.7;13.9;79.0;0
2022-11-10 01:15:00;22;5.2;6.1;13.8;79.0;0
2022-11-10 01:20:00;23;4.7;5.6;13.8;79.0;0
2022-11-10 01:25:00;24;4.8;5.5;13.7;79.0;0
2022-11-10 01:30:00;25;4.4;5.6;13.7;79.0;0
2022-11-10 01:35:00;23;4.4;5.4;13.7;79.0;0
2022-11-10 01:40:00;22;4.8;5.9;13.6;79.0;0
2022-11-10 01:45:00;22;4.1;4.8;13.6;79.0;0
2022-11-10 01:50:00;23;3.8;4.8;13.6;79.0;0
2022-11-10 01:55:00;20;4.0;4.6;13.5;79.0;0
2022-11-10 02:00:00;17;4.0;4.7;13.5;79.0;0
2022-11-10 02:05:00;17;3.9;4.6;13.5;79.0;0
2022-11-10 02:10:00;18;4.1;4.8;13.3;79.0;0
2022-11-10 02:15:00;16;4.4;5.2;13.4;78.0;0
2022-11-10 02:20:00;15;4.6;5.7;13.4;79.0;0
2022-11-10 02:25:00;16;4.5;5.2;13.4;79.0;0
2022-11-10 02:30:00;15;4.3;5.2;13.3;79.0;0
2022-11-10 02:35:00;16;4.2;5.3;13.3;79.0;0
2022-11-10 02:40:00;16;4.7;6.0;13.4;78.0;0
2022-11-10 02:45:00;11;4.5;5.3;13.3;78.0;0
2022-11-10 02:50:00;8;4.5;5.9;13.3;78.0;0
2022-11-10 02:55:00;0;4.7;5.8;13.3;78.0;0
2022-11-10 03:00:00;9;4.7;5.9;13.2;78.0;0
2022-11-10 03:05:00;11;4.8;5.9;13.2;78.0;0
2022-11-10 03:10:00;10;4.7;5.7;13.3;77.0;0
2022-11-10 03:15:00;12;4.4;5.6;13.3;77.0;0
2022-11-10 03:20:00;17;5.2;6.0;13.1;77.0;0
2022-11-10 03:25:00;14;5.2;6.6;13.0;76.0;0
2022-11-10 03:30:00;11;5.2;6.6;13.0;75.0;0
2022-11-10 03:35:00;12;4.8;6.0;13.0;74.0;0
2022-11-10 03:40:00;9;4.9;6.5;12.9;74.0;0
2022-11-10 03:45:00;12;4.5;6.0;12.9;72.0;0
2022-11-10 03:50:00;10;4.6;5.8;12.8;70.0;0
2022-11-10 03:55:00;12;4.5;5.6;12.8;69.0;0
2022-11-10 04:00:00;15;4.7;6.1;12.8;68.0;0
2022-11-10 04:05:00;16;4.9;6.2;12.8;65.0;0
2022-11-10 04:10:00;16;5.5;6.8;12.8;64.0;0
2022-11-10 04:15:00;18;5.0;6.0;12.8;62.0;0
2022-11-10 04:20:00;17;5.1;6.4;12.8;60.0;0
2022-11-10 04:25:00;19;5.2;6.1;12.8;58.0;0
2022-11-10 04:30:00;19;5.1;6.0;12.8;56.0;0
2022-11-10 04:35:00;21;5.3;6.4;12.8;54.0;0
2022-11-10 04:40:00;23;5.3;6.5;12.8;51.0;0
2022-11-10 04:45:00;25;5.0;6.0;12.9;49.0;0
2022-11-10 04:50:00;25;5.2;6.2;12.9;48.0;0
2022-11-10 04:55:00;23;5.1;6.3;12.8;49.0;0
2022-11-10 05:00:00;24;5.2;6.4;12.8;48.0;0
